Symbol,Date,Expiry,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
BANKNIFTY,2-Mar-20,28-May-20,29718.95,29800,28820,29121.3,29119.3,29121.3,2020,11865.7,37940,35660,28868.4
BANKNIFTY,3-Mar-20,28-May-20,29319.95,29500,28990.25,29364.7,29479,29364.7,1477,8647.28,48020,10080,29177.05
BANKNIFTY,4-Mar-20,28-May-20,29354.75,29354.75,28374.25,28914.35,28950.7,28914.35,536,3095.86,49740,1720,28653.7
BANKNIFTY,5-Mar-20,28-May-20,29194.75,29369,28777,29018.65,28984.1,29018.65,330,1919.4,49700,-40,28815.35
BANKNIFTY,6-Mar-20,28-May-20,27924.35,28500,27505.7,27976.2,27960,27976.2,588,3277.28,53280,3580,27801.45
BANKNIFTY,9-Mar-20,28-May-20,27178.45,27366.55,26140.7,26690.7,26703.15,26690.7,2036,10942.98,54240,960,26462.6
BANKNIFTY,11-Mar-20,28-May-20,26690.7,27000,26470,26691.55,26692.35,26691.55,277,1481.45,54320,80,26487.8
BANKNIFTY,12-Mar-20,28-May-20,25367.4,25500,23676.6,23979.15,24328,23979.15,786,3877.88,55760,1440,23971.15
BANKNIFTY,13-Mar-20,28-May-20,22831.9,25798.55,21585.1,25347.8,25432.65,25347.8,676,3270.24,54660,-1100,25166.45
BANKNIFTY,16-Mar-20,28-May-20,24900,24900,23000,23156.4,23100,23156.4,546,2585.55,56160,1500,23101.15
BANKNIFTY,17-Mar-20,28-May-20,23200,23500,22003.1,22163.5,22088,22163.5,578,2641.62,58200,2040,22155.15
BANKNIFTY,18-Mar-20,28-May-20,22445.8,22500,20266.45,20631.2,20655.85,20631.2,1019,4304.42,59740,1540,20580.2
BANKNIFTY,19-Mar-20,28-May-20,19168.45,21000,18874.6,20015.65,20018.65,20015.65,1196,4738.73,60420,680,20083.5
BANKNIFTY,20-Mar-20,28-May-20,19853.15,20975,19320.4,20367,20350.05,20367,1728,6974.19,76220,15800,20317.6
BANKNIFTY,23-Mar-20,28-May-20,18500,19547.5,16810.55,17012.45,17072.4,17012.45,3806,13317.3,82860,6640,16917.65
BANKNIFTY,24-Mar-20,28-May-20,17888.15,17950,16131.65,17046.05,17261,17046.05,2047,6933.74,81160,-1700,17107.3
BANKNIFTY,25-Mar-20,28-May-20,16963.2,18715,16710.2,18479.2,18485,18479.2,2043,7196.2,82740,1580,18481.05
BANKNIFTY,26-Mar-20,28-May-20,18661.35,20286.4,18300,19399.6,19456.65,19399.6,3055,11983.95,99880,17140,19613.9
BANKNIFTY,27-Mar-20,28-May-20,20639.05,21339,19424.85,19837.15,19850,19837.15,11589,47242.78,114340,14460,19969
BANKNIFTY,30-Mar-20,28-May-20,18883.8,19870.6,18750,18847.2,18820,18847.2,10352,39847.4,152980,38640,18782.4
BANKNIFTY,31-Mar-20,28-May-20,19296.8,19550,18875,19211.45,19059.95,19211.45,5610,21525,152200,-780,19144
BANKNIFTY,1-Apr-20,28-May-20,18700.45,18948.05,18020,18222.3,18179.95,18222.3,10273,37808.39,59360,-92840,18208.35
BANKNIFTY,3-Apr-20,28-May-20,18089.35,18089.35,17130.05,17222.85,17251.8,17222.85,4957,17370.73,66100,6740,17249.3
BANKNIFTY,7-Apr-20,28-May-20,18250.3,19275.15,17976.8,19211.15,19227.75,19211.15,6363,23546.73,69040,2940,19062.5
BANKNIFTY,8-Apr-20,28-May-20,18869,20613.25,18532.25,18931.45,18935.05,18931.45,8916,34413.7,69480,440,18946.45
BANKNIFTY,9-Apr-20,28-May-20,19428.6,19918.95,19113.85,19801.1,19760,19801.1,7850,30720.71,81520,12040,19913.6
BANKNIFTY,13-Apr-20,28-May-20,19608.65,19855.7,19225,19539.05,19575,19539.05,5150,20100.87,80180,-1340,19488
BANKNIFTY,15-Apr-20,28-May-20,19875.55,20246,18719.65,19032.8,19073,19032.8,6309,24757.54,87660,7480,19057.05
BANKNIFTY,16-Apr-20,28-May-20,18890.25,19561.2,18729.35,19449.2,19526,19449.2,7753,29812.62,109400,21740,19400
BANKNIFTY,17-Apr-20,28-May-20,20325.45,20939,19650,20741.75,20848,20741.75,10795,43567.29,129720,20320,20681.45
BANKNIFTY,20-Apr-20,28-May-20,21010.9,21080,20390.05,20490.8,20475,20490.8,8463,35091.25,134820,5100,20522.65
BANKNIFTY,21-Apr-20,28-May-20,19884.45,19884.45,19200,19340.85,19254.25,19340.85,8149,31774.13,143360,8540,19409.35
BANKNIFTY,22-Apr-20,28-May-20,19239.65,19849.95,19020,19692.15,19749.6,19692.15,10365,40271.49,154020,10660,19701.85
BANKNIFTY,23-Apr-20,28-May-20,19797.7,20297.2,19552.85,20179.1,20116.3,20179.1,13520,54157.8,177540,23520,20267.95
BANKNIFTY,24-Apr-20,28-May-20,20120,20120,19393.95,19524.75,19590,19524.75,17865,70055.26,211620,34080,19586.65
BANKNIFTY,27-Apr-20,28-May-20,19800,20217.7,19750.9,20075,20090,20075,21937,88043.79,346800,135180,20081.15
BANKNIFTY,28-Apr-20,28-May-20,20397.95,20730.3,20224,20645.35,20720,20645.35,39618,162022.22,558800,212000,20671.1
BANKNIFTY,29-Apr-20,28-May-20,20515.05,21341.9,20382.9,21095.7,20990.05,21095.7,58418,244066.39,728120,169320,21090.2
BANKNIFTY,30-Apr-20,28-May-20,21510.2,21932.15,21287.15,21431.3,21400,21431.3,135312,585757.81,980000,251880,21534.5
BANKNIFTY,4-May-20,28-May-20,20600,20600,19505,19632.75,19678,19632.75,267321,1062298.2,1286600,306600,19743.75
BANKNIFTY,5-May-20,28-May-20,19906.05,20098,19164.35,19246.35,19295,19246.35,357340,1406665.89,1382100,95500,19271.75
BANKNIFTY,6-May-20,28-May-20,19219.2,19819,18900,19671.95,19772.6,19671.95,429263,1672467.79,1476240,94140,19694.55
BANKNIFTY,7-May-20,28-May-20,19470,19743.35,19300,19505.3,19544.95,19505.3,288319,1124664.19,1308760,-167480,19491.8
BANKNIFTY,8-May-20,28-May-20,19825,19950,19210,19284.65,19280,19284.65,290550,1140934.95,1397020,88260,19352.9
BANKNIFTY,11-May-20,28-May-20,19489.85,19700,18855,18914.4,18910,18914.4,321874,1241524.74,1407780,10760,18950.5
BANKNIFTY,12-May-20,28-May-20,18696,18991,18209,18839.1,18863.05,18839.1,430698,1595561.64,1457560,49780,18862.85
BANKNIFTY,13-May-20,28-May-20,19950,20199,19423,19617,19618.55,19617,410714,1617940.78,1213800,-243760,19634.95
BANKNIFTY,14-May-20,28-May-20,19225.65,19340.5,18957.25,19038.75,19054,19038.75,309645,1186374.85,1179620,-34180,19068.5
BANKNIFTY,15-May-20,28-May-20,19079.6,19079.65,18651,18807.7,18770,18807.7,294438,1106045.16,1301840,122220,18833.95
BANKNIFTY,18-May-20,28-May-20,18705.1,18711.1,17458.3,17531.6,17589.65,17531.6,430078,1530344.23,1400160,98320,17573.2
BANKNIFTY,19-May-20,28-May-20,17735,18165,17318,17438.75,17440.05,17438.75,462186,1638110.16,1374860,-25300,17486.25
BANKNIFTY,20-May-20,28-May-20,17390,18026.95,17351.7,17836.65,17940,17836.65,402003,1421163.09,1269360,-105500,17840.2
BANKNIFTY,21-May-20,28-May-20,17923.3,18175,17565.6,17644.85,17630,17644.85,342672,1228384.8,1378440,109080,17735.1
BANKNIFTY,22-May-20,28-May-20,17499.5,17899.95,17005.95,17216.1,17286.1,17216.1,504772,1747510.75,1762440,384000,17278.9
BANKNIFTY,26-May-20,28-May-20,17525,17690,17261.6,17445.15,17510.1,17445.15,342839,1199348.03,1441100,-321340,17440.35
BANKNIFTY,27-May-20,28-May-20,17556.75,18863.3,17484.6,18663.05,18663.05,18663.05,527222,1907979.79,871800,-569300,18710.55
BANKNIFTY,28-May-20,28-May-20,18816.55,19436,18748.55,19162.05,19170.2,19169.8,392320,1503192.27,333440,-538360,19169.8
